                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2653,                 1.0315,                 1.2438,                0.51504,                0.51007,                0.50852,                0.29296,                 1.4705,                 1.1798,                 1.4413,               0.002674,               0.002674,               0.002674
                     76,                 1.2595,                 1.0329,                  1.246,                0.46257,                0.56323,                0.50201,                0.28873,                 1.4924,                 1.2021,                 1.4596,               0.002575,               0.002575,               0.002575
                     77,                 1.2495,                 1.0263,                 1.2402,                0.48295,                0.49015,                0.49524,                0.28303,                 1.4962,                  1.211,                 1.4735,               0.002476,               0.002476,               0.002476
                     78,                 1.2371,                 1.0053,                 1.2261,                 0.5017,                0.46275,                0.48617,                0.28198,                 1.4827,                 1.2106,                 1.4554,               0.002377,               0.002377,               0.002377
                     79,                 1.2342,                0.99521,                 1.2212,                0.48604,                0.49083,                0.50098,                 0.2846,                 1.5028,                 1.2144,                 1.4593,               0.002278,               0.002278,               0.002278
                     80,                 1.2215,                0.98796,                 1.2254,                 0.5135,                0.45775,                0.48669,                0.28174,                 1.5072,                 1.2134,                 1.4711,               0.002179,               0.002179,               0.002179
                     81,                 1.2348,                0.99546,                 1.2289,                0.49113,                0.47572,                0.48368,                0.27341,                 1.5199,                 1.2267,                 1.4818,                0.00208,                0.00208,                0.00208
                     82,                 1.2179,                0.97001,                 1.2177,                0.50153,                0.48833,                0.49931,                0.28141,                 1.5136,                 1.2036,                  1.472,               0.001981,               0.001981,               0.001981
                     83,                 1.2033,                0.96984,                 1.2138,                0.54366,                0.42979,                0.49155,                0.27664,                 1.5161,                 1.2073,                   1.48,               0.001882,               0.001882,               0.001882
                     84,                 1.2151,                0.96416,                 1.2221,                0.49254,                0.47982,                0.49999,                0.29134,                  1.523,                 1.2024,                 1.4781,               0.001783,               0.001783,               0.001783
                     85,                 1.1919,                0.94182,                 1.2026,                0.51484,                0.47156,                0.50387,                0.28697,                 1.5361,                 1.2124,                 1.4991,               0.001684,               0.001684,               0.001684
                     86,                 1.1983,                0.94692,                 1.2032,                0.46831,                0.49485,                0.49133,                0.27911,                 1.5294,                 1.2408,                  1.485,               0.001585,               0.001585,               0.001585
                     87,                 1.1909,                0.95357,                 1.1972,                0.51883,                0.45719,                0.50574,                0.28461,                 1.5297,                 1.2332,                 1.4876,               0.001486,               0.001486,               0.001486
                     88,                 1.1789,                0.92959,                 1.1961,                0.51734,                0.46639,                0.50622,                0.28333,                 1.5198,                 1.2205,                 1.4879,               0.001387,               0.001387,               0.001387
                     89,                 1.1773,                0.92682,                 1.1931,                 0.5053,                0.48185,                0.50537,                0.28351,                  1.528,                 1.2041,                 1.4941,               0.001288,               0.001288,               0.001288
                     90,                  1.126,                0.83323,                 1.1923,                0.47286,                0.50418,                0.49594,                 0.2771,                 1.5401,                 1.2168,                 1.5098,               0.001189,               0.001189,               0.001189
                     91,                  1.105,                0.80279,                 1.1785,                0.48792,                0.47884,                0.49447,                0.28185,                 1.5462,                 1.2198,                 1.5117,                0.00109,                0.00109,                0.00109
                     92,                 1.0942,                0.78556,                 1.1686,                 0.5446,                0.45815,                 0.4981,                  0.283,                 1.5383,                 1.2126,                 1.5099,               0.000991,               0.000991,               0.000991
                     93,                 1.0787,                 0.7826,                 1.1674,                0.48792,                 0.4905,                 0.5007,                0.28508,                  1.538,                 1.2194,                 1.5053,               0.000892,               0.000892,               0.000892
                     94,                 1.0776,                0.77637,                 1.1605,                0.49125,                0.50108,                0.49964,                0.28379,                   1.54,                 1.2239,                 1.5127,               0.000793,               0.000793,               0.000793
                     95,                 1.0625,                0.76056,                 1.1543,                0.48518,                0.48523,                0.48986,                 0.2809,                 1.5399,                 1.2399,                 1.5206,               0.000694,               0.000694,               0.000694
                     96,                 1.0526,                 0.7482,                 1.1494,                0.49539,                 0.4729,                0.49428,                0.28297,                 1.5421,                 1.2402,                 1.5202,               0.000595,               0.000595,               0.000595
                     97,                 1.0537,                0.75059,                 1.1538,                0.51311,                0.45584,                0.48889,                0.27826,                 1.5462,                 1.2343,                 1.5264,               0.000496,               0.000496,               0.000496
                     98,                 1.0444,                 0.7404,                 1.1447,                0.49333,                0.47215,                0.49593,                0.28239,                 1.5401,                 1.2304,                 1.5192,               0.000397,               0.000397,               0.000397
                     99,                 1.0394,                0.73573,                 1.1402,                0.49272,                0.48142,                0.48886,                0.27907,                 1.5454,                 1.2404,                  1.522,               0.000298,               0.000298,               0.000298
